barcode,invoice_number,sale_date,quantity_sold,selling_price,discount,total_amount
8901005,INV-00365,2026-05-15,2,128,0,256
8901006,INV-00448,2026-05-15,2,118,11.8,224.2
8901012,INV-00553,2026-05-15,2,42,0,84
8901020,INV-00639,2026-05-15,2,56,11.2,100.8
8901030,INV-00694,2026-05-15,4,20,4.0,76.0
8901030,INV-00722,2026-05-15,2,20,0,40
8901033,INV-00903,2026-05-15,1,155,0,155
8901034,INV-00941,2026-05-15,4,42,0,168
8901034,INV-00965,2026-05-15,1,42,0,42
8901035,INV-01071,2026-05-15,2,19,0,38
8901050,INV-01115,2026-05-15,1,32,0,32
8901050,INV-01153,2026-05-15,5,32,0,160
8901051,INV-01190,2026-05-15,2,270,0,540
8901056,INV-01359,2026-05-15,3,395,0,1185
8901057,INV-01366,2026-05-15,3,165,0,495
8901057,INV-01368,2026-05-15,2,165,0,330
8901059,INV-01429,2026-05-15,1,270,0,270
8901059,INV-01444,2026-05-15,1,270,0,270
8901062,INV-01568,2026-05-15,2,23,2.3,43.7
8901066,INV-01691,2026-05-15,2,56,0,112
8901002,INV-00126,2026-05-16,3,52,15.6,140.4
8901003,INV-00267,2026-05-16,3,272,0,816
8901020,INV-00643,2026-05-16,3,56,0,168
8901030,INV-00753,2026-05-16,5,20,10.0,90.0
8901031,INV-00809,2026-05-16,5,85,0,425
8901034,INV-00979,2026-05-16,3,42,12.6,113.4
8901035,INV-01036,2026-05-16,3,19,0,57
8901035,INV-01043,2026-05-16,5,19,4.75,90.25
8901035,INV-01078,2026-05-16,2,19,0,38
8901050,INV-01109,2026-05-16,2,32,0,64
8901055,INV-01337,2026-05-16,3,94,0,282
8901057,INV-01393,2026-05-16,1,165,0,165
8901062,INV-01593,2026-05-16,5,23,0,115
8901006,INV-00440,2026-05-17,1,118,5.9,112.1
8901006,INV-00455,2026-05-17,2,118,11.8,224.2
8901010,INV-00477,2026-05-17,2,90,0,180
8901012,INV-00562,2026-05-17,1,42,0,42
8901033,INV-00908,2026-05-17,1,155,0,155
8901035,INV-01009,2026-05-17,1,19,0,19
8901054,INV-01288,2026-05-17,1,172,0,172
8901059,INV-01422,2026-05-17,1,270,0,270
8901059,INV-01441,2026-05-17,2,270,27.0,513.0
8901059,INV-01446,2026-05-17,2,270,0,540
8901059,INV-01452,2026-05-17,2,270,0,540
8901001,INV-00077,2026-05-18,4,68,0,272
8901001,INV-00083,2026-05-18,1,68,0,68
8901001,INV-00101,2026-05-18,5,68,0,340
8901001,INV-00103,2026-05-18,2,68,13.6,122.4
8901003,INV-00235,2026-05-18,2,272,27.2,516.8
8901006,INV-00439,2026-05-18,1,118,0,118
8901013,INV-00622,2026-05-18,1,92,0,92
8901030,INV-00734,2026-05-18,2,20,0,40
8901035,INV-01010,2026-05-18,5,19,0,95
8901035,INV-01080,2026-05-18,2,19,0,38
8901056,INV-01349,2026-05-18,3,395,0,1185
8901064,INV-01641,2026-05-18,1,176,0,176
8901002,INV-00138,2026-05-19,2,52,0,104
8901004,INV-00307,2026-05-19,2,28,0,56
8901005,INV-00403,2026-05-19,3,128,19.2,364.8
8901030,INV-00710,2026-05-19,3,20,0,60
8901030,INV-00721,2026-05-19,3,20,3.0,57.0
8901031,INV-00760,2026-05-19,3,85,25.5,229.5
8901032,INV-00844,2026-05-19,3,158,0,474
8901057,INV-01386,2026-05-19,2,165,33.0,297.0
8901062,INV-01540,2026-05-19,3,23,0,69
8901062,INV-01577,2026-05-19,1,23,0,23
8901062,INV-01584,2026-05-19,3,23,0,69
8901065,INV-01675,2026-05-19,1,128,0,128
8901001,INV-00029,2026-05-20,3,68,0,204
8901002,INV-00142,2026-05-20,2,52,5.2,98.8
8901010,INV-00469,2026-05-20,1,90,0,90
8901031,INV-00790,2026-05-20,3,85,0,255
8901035,INV-01015,2026-05-20,3,19,2.85,54.15
8901035,INV-01017,2026-05-20,2,19,1.9,36.1
8901035,INV-01077,2026-05-20,3,19,0,57
8901052,INV-01213,2026-05-20,1,180,18.0,162.0
8901054,INV-01260,2026-05-20,2,172,0,344
8901055,INV-01322,2026-05-20,1,94,0,94
8901057,INV-01390,2026-05-20,1,165,0,165
8901060,INV-01471,2026-05-20,2,348,34.8,661.2
8901061,INV-01479,2026-05-20,1,42,0,42
8901003,INV-00263,2026-05-21,3,272,0,816
8901004,INV-00331,2026-05-21,4,28,5.6,106.4
8901012,INV-00560,2026-05-21,1,42,0,42
8901020,INV-00647,2026-05-21,2,56,0,112
8901030,INV-00742,2026-05-21,2,20,2.0,38.0
8901032,INV-00820,2026-05-21,5,158,0,790
8901034,INV-01001,2026-05-21,2,42,0,84
8901035,INV-01059,2026-05-21,3,19,0,57
8901035,INV-01082,2026-05-21,2,19,0,38
8901040,INV-01093,2026-05-21,3,645,0,1935
8901059,INV-01448,2026-05-21,2,270,0,540
8901061,INV-01510,2026-05-21,1,42,0,42
8901001,INV-00124,2026-05-22,4,68,0,272
8901004,INV-00315,2026-05-22,1,28,0,28
8901005,INV-00398,2026-05-22,3,128,0,384
8901010,INV-00487,2026-05-22,1,90,9.0,81.0
8901030,INV-00716,2026-05-22,2,20,0,40
8901032,INV-00848,2026-05-22,2,158,0,316
8901035,INV-01062,2026-05-22,3,19,0,57
8901050,INV-01101,2026-05-22,3,32,0,96
8901050,INV-01105,2026-05-22,4,32,12.8,115.2
8901051,INV-01184,2026-05-22,2,270,0,540
8901054,INV-01296,2026-05-22,1,172,0,172
8901057,INV-01370,2026-05-22,2,165,33.0,297.0
8901065,INV-01673,2026-05-22,2,128,12.8,243.2
8901001,INV-00003,2026-05-23,4,68,0,272
8901001,INV-00057,2026-05-23,3,68,0,204
8901001,INV-00066,2026-05-23,1,68,0,68
8901013,INV-00587,2026-05-23,2,92,0,184
8901030,INV-00737,2026-05-23,4,20,0,80
8901033,INV-00882,2026-05-23,1,155,15.5,139.5
8901034,INV-00982,2026-05-23,2,42,0,84
8901034,INV-00992,2026-05-23,3,42,0,126
8901050,INV-01112,2026-05-23,5,32,16.0,144.0
8901051,INV-01165,2026-05-23,1,270,0,270
8901051,INV-01177,2026-05-23,1,270,0,270
8901052,INV-01197,2026-05-23,2,180,0,360
8901058,INV-01400,2026-05-23,1,205,0,205
8901059,INV-01454,2026-05-23,1,270,0,270
8901060,INV-01458,2026-05-23,1,348,0,348
8901063,INV-01610,2026-05-23,1,38,0,38
8901063,INV-01620,2026-05-23,1,38,1.9,36.1
8901063,INV-01625,2026-05-23,2,38,0,76
8901064,INV-01644,2026-05-23,1,176,0,176
8901001,INV-00058,2026-05-24,1,68,0,68
8901002,INV-00211,2026-05-24,3,52,0,156
8901003,INV-00272,2026-05-24,1,272,0,272
8901006,INV-00444,2026-05-24,2,118,0,236
8901013,INV-00582,2026-05-24,1,92,0,92
8901013,INV-00620,2026-05-24,1,92,0,92
8901031,INV-00764,2026-05-24,2,85,0,170
8901053,INV-01247,2026-05-24,2,705,0,1410
8901055,INV-01310,2026-05-24,1,94,0,94
8901004,INV-00333,2026-05-25,2,28,0,56
8901005,INV-00385,2026-05-25,2,128,0,256
8901006,INV-00421,2026-05-25,2,118,0,236
8901006,INV-00436,2026-05-25,1,118,0,118
8901006,INV-00445,2026-05-25,1,118,0,118
8901011,INV-00507,2026-05-25,2,99,0,198
8901013,INV-00592,2026-05-25,3,92,27.6,248.4
8901020,INV-00650,2026-05-25,1,56,2.8,53.2
8901032,INV-00863,2026-05-25,3,158,0,474
8901032,INV-00873,2026-05-25,2,158,31.6,284.4
8901034,INV-00937,2026-05-25,2,42,0,84
8901035,INV-01068,2026-05-25,2,19,0,38
8901035,INV-01088,2026-05-25,3,19,0,57
8901042,INV-01095,2026-05-25,1,399,39.9,359.1
8901051,INV-01170,2026-05-25,1,270,0,270
8901051,INV-01188,2026-05-25,2,270,27.0,513.0
8901052,INV-01199,2026-05-25,1,180,0,180
8901058,INV-01412,2026-05-25,3,205,0,615
8901062,INV-01543,2026-05-25,3,23,0,69
8901064,INV-01632,2026-05-25,2,176,0,352
8901066,INV-01694,2026-05-25,1,56,0,56
8901001,INV-00067,2026-05-26,4,68,13.6,258.4
8901001,INV-00085,2026-05-26,2,68,6.8,129.2
8901002,INV-00214,2026-05-26,2,52,0,104
8901003,INV-00292,2026-05-26,2,272,0,544
8901011,INV-00510,2026-05-26,3,99,14.85,282.15
8901011,INV-00533,2026-05-26,3,99,0,297
8901012,INV-00534,2026-05-26,1,42,2.1,39.9
8901020,INV-00630,2026-05-26,3,56,16.8,151.2
8901030,INV-00732,2026-05-26,4,20,4.0,76.0
8901032,INV-00831,2026-05-26,3,158,0,474
8901034,INV-00968,2026-05-26,3,42,0,126
8901050,INV-01126,2026-05-26,3,32,9.6,86.4
8901051,INV-01178,2026-05-26,2,270,0,540
8901052,INV-01210,2026-05-26,3,180,0,540
8901061,INV-01482,2026-05-26,2,42,0,84
8901062,INV-01579,2026-05-26,2,23,2.3,43.7
8901001,INV-00056,2026-05-27,5,68,0,340
8901002,INV-00129,2026-05-27,3,52,0,156
8901010,INV-00476,2026-05-27,1,90,4.5,85.5
8901010,INV-00485,2026-05-27,3,90,0,270
8901012,INV-00542,2026-05-27,1,42,0,42
8901021,INV-00651,2026-05-27,1,58,2.9,55.1
8901030,INV-00720,2026-05-27,2,20,0,40
8901032,INV-00871,2026-05-27,5,158,39.5,750.5
8901035,INV-01024,2026-05-27,2,19,3.8,34.2
8901051,INV-01179,2026-05-27,3,270,0,810
8901052,INV-01225,2026-05-27,1,180,0,180
8901062,INV-01552,2026-05-27,3,23,0,69
8901062,INV-01558,2026-05-27,3,23,0,69
8901064,INV-01643,2026-05-27,1,176,17.6,158.4
8901066,INV-01700,2026-05-27,2,56,0,112
8901001,INV-00117,2026-05-28,4,68,0,272
8901002,INV-00216,2026-05-28,4,52,0,208
8901002,INV-00221,2026-05-28,5,52,26.0,234.0
8901011,INV-00504,2026-05-28,3,99,0,297
8901020,INV-00644,2026-05-28,1,56,0,56
8901030,INV-00705,2026-05-28,3,20,3.0,57.0
8901031,INV-00781,2026-05-28,3,85,0,255
8901031,INV-00818,2026-05-28,4,85,0,340
8901032,INV-00847,2026-05-28,1,158,7.9,150.1
8901032,INV-00859,2026-05-28,1,158,0,158
8901032,INV-00869,2026-05-28,1,158,0,158
8901033,INV-00916,2026-05-28,2,155,0,310
8901050,INV-01114,2026-05-28,2,32,0,64
8901050,INV-01132,2026-05-28,4,32,0,128
8901053,INV-01257,2026-05-28,2,705,70.5,1339.5
8901062,INV-01545,2026-05-28,3,23,0,69
8901062,INV-01553,2026-05-28,2,23,0,46
8901062,INV-01585,2026-05-28,2,23,0,46
8901062,INV-01596,2026-05-28,3,23,0,69
8901001,INV-00004,2026-05-29,1,68,0,68
8901001,INV-00026,2026-05-29,3,68,0,204
8901004,INV-00343,2026-05-29,2,28,0,56
8901006,INV-00453,2026-05-29,3,118,17.7,336.3
8901010,INV-00471,2026-05-29,2,90,0,180
8901034,INV-00954,2026-05-29,1,42,0,42
8901051,INV-01186,2026-05-29,1,270,27.0,243.0
8901052,INV-01216,2026-05-29,2,180,36.0,324.0
8901056,INV-01361,2026-05-29,1,395,0,395
8901058,INV-01410,2026-05-29,1,205,0,205
8901063,INV-01606,2026-05-29,1,38,1.9,36.1
8901064,INV-01654,2026-05-29,3,176,0,528
8901001,INV-00016,2026-05-30,2,68,6.8,129.2
8901002,INV-00135,2026-05-30,1,52,2.6,49.4
8901012,INV-00552,2026-05-30,1,42,0,42
8901020,INV-00645,2026-05-30,1,56,0,56
8901035,INV-01056,2026-05-30,4,19,0,76
8901050,INV-01118,2026-05-30,1,32,0,32
8901058,INV-01397,2026-05-30,3,205,0,615
8901058,INV-01406,2026-05-30,1,205,20.5,184.5
8901059,INV-01420,2026-05-30,1,270,0,270
8901060,INV-01470,2026-05-30,1,348,0,348
8901002,INV-00133,2026-05-31,3,52,0,156
8901002,INV-00150,2026-05-31,3,52,7.8,148.2
8901004,INV-00311,2026-05-31,4,28,5.6,106.4
8901004,INV-00318,2026-05-31,2,28,2.8,53.2
8901004,INV-00321,2026-05-31,1,28,0,28
8901004,INV-00358,2026-05-31,1,28,0,28
8901006,INV-00454,2026-05-31,2,118,23.6,212.4
8901013,INV-00623,2026-05-31,1,92,4.6,87.4
8901030,INV-00702,2026-05-31,1,20,0,20
8901030,INV-00723,2026-05-31,2,20,4.0,36.0
8901030,INV-00729,2026-05-31,3,20,0,60
8901031,INV-00768,2026-05-31,2,85,8.5,161.5
8901032,INV-00877,2026-05-31,2,158,0,316
8901034,INV-00953,2026-05-31,1,42,0,42
8901035,INV-01035,2026-05-31,3,19,0,57
8901035,INV-01046,2026-05-31,4,19,0,76
8901057,INV-01388,2026-05-31,3,165,0,495
8901058,INV-01396,2026-05-31,1,205,10.25,194.75
8901059,INV-01424,2026-05-31,2,270,0,540
8901059,INV-01453,2026-05-31,1,270,0,270
8901060,INV-01462,2026-05-31,3,348,52.2,991.8
8901061,INV-01489,2026-05-31,1,42,2.1,39.9
8901062,INV-01537,2026-05-31,3,23,0,69
8901062,INV-01565,2026-05-31,4,23,0,92
8901062,INV-01567,2026-05-31,4,23,0,92
8901062,INV-01572,2026-05-31,5,23,0,115
8901065,INV-01671,2026-05-31,3,128,0,384
8901001,INV-00049,2026-06-01,1,68,0,68
8901002,INV-00134,2026-06-01,3,52,0,156
8901005,INV-00394,2026-06-01,1,128,0,128
8901011,INV-00524,2026-06-01,3,99,0,297
8901012,INV-00567,2026-06-01,2,42,0,84
8901030,INV-00701,2026-06-01,3,20,0,60
8901031,INV-00776,2026-06-01,3,85,25.5,229.5
8901033,INV-00893,2026-06-01,2,155,0,310
8901035,INV-01072,2026-06-01,4,19,3.8,72.2
8901050,INV-01135,2026-06-01,5,32,0,160
8901051,INV-01192,2026-06-01,1,270,13.5,256.5
8901056,INV-01352,2026-06-01,1,395,0,395
8901056,INV-01356,2026-06-01,2,395,0,790
8901057,INV-01392,2026-06-01,1,165,0,165
8901059,INV-01423,2026-06-01,1,270,0,270
8901065,INV-01665,2026-06-01,1,128,0,128
8901066,INV-01688,2026-06-01,2,56,5.6,106.4
8901066,INV-01704,2026-06-01,1,56,2.8,53.2
8901001,INV-00033,2026-06-02,4,68,27.2,244.8
8901001,INV-00040,2026-06-02,2,68,0,136
8901002,INV-00190,2026-06-02,4,52,10.4,197.6
8901002,INV-00219,2026-06-02,3,52,7.8,148.2
8901002,INV-00227,2026-06-02,1,52,0,52
8901010,INV-00474,2026-06-02,1,90,0,90
8901020,INV-00632,2026-06-02,3,56,0,168
8901021,INV-00655,2026-06-02,1,58,5.8,52.2
8901030,INV-00728,2026-06-02,5,20,0,100
8901031,INV-00812,2026-06-02,3,85,25.5,229.5
8901032,INV-00865,2026-06-02,3,158,0,474
8901034,INV-00928,2026-06-02,3,42,0,126
8901034,INV-00939,2026-06-02,2,42,0,84
8901034,INV-00942,2026-06-02,3,42,0,126
8901035,INV-01064,2026-06-02,3,19,0,57
8901050,INV-01117,2026-06-02,2,32,0,64
8901058,INV-01417,2026-06-02,3,205,0,615
8901061,INV-01513,2026-06-02,1,42,0,42
8901062,INV-01549,2026-06-02,5,23,0,115
8901062,INV-01592,2026-06-02,1,23,0,23
8901066,INV-01699,2026-06-02,1,56,0,56
8901001,INV-00030,2026-06-03,2,68,0,136
8901002,INV-00198,2026-06-03,2,52,5.2,98.8
8901003,INV-00247,2026-06-03,5,272,0,1360
8901003,INV-00250,2026-06-03,3,272,0,816
8901003,INV-00297,2026-06-03,2,272,0,544
8901004,INV-00319,2026-06-03,5,28,0,140
8901010,INV-00488,2026-06-03,2,90,0,180
8901012,INV-00554,2026-06-03,1,42,2.1,39.9
8901020,INV-00629,2026-06-03,3,56,0,168
8901030,INV-00677,2026-06-03,3,20,6.0,54.0
8901035,INV-01061,2026-06-03,2,19,1.9,36.1
8901035,INV-01087,2026-06-03,1,19,0,19
8901053,INV-01256,2026-06-03,3,705,0,2115
8901057,INV-01381,2026-06-03,1,165,8.25,156.75
8901061,INV-01495,2026-06-03,1,42,2.1,39.9
8901061,INV-01512,2026-06-03,1,42,2.1,39.9
8901065,INV-01678,2026-06-03,1,128,0,128
8901066,INV-01709,2026-06-03,1,56,0,56
8901002,INV-00157,2026-06-04,3,52,15.6,140.4
8901002,INV-00185,2026-06-04,4,52,0,208
8901010,INV-00461,2026-06-04,1,90,9.0,81.0
8901010,INV-00482,2026-06-04,1,90,0,90
8901030,INV-00713,2026-06-04,3,20,6.0,54.0
8901030,INV-00751,2026-06-04,2,20,0,40
8901032,INV-00862,2026-06-04,5,158,0,790
8901034,INV-00929,2026-06-04,4,42,0,168
8901059,INV-01419,2026-06-04,3,270,81.0,729.0
8901060,INV-01468,2026-06-04,3,348,0,1044
8901066,INV-01689,2026-06-04,3,56,0,168
8901066,INV-01706,2026-06-04,2,56,0,112
8901001,INV-00013,2026-06-05,3,68,0,204
8901001,INV-00052,2026-06-05,3,68,20.4,183.6
8901001,INV-00090,2026-06-05,2,68,0,136
8901001,INV-00119,2026-06-05,5,68,34.0,306.0
8901002,INV-00154,2026-06-05,4,52,0,208
8901002,INV-00200,2026-06-05,1,52,0,52
8901013,INV-00594,2026-06-05,3,92,0,276
8901020,INV-00642,2026-06-05,2,56,0,112
8901030,INV-00738,2026-06-05,2,20,0,40
8901031,INV-00793,2026-06-05,3,85,0,255
8901031,INV-00800,2026-06-05,1,85,0,85
8901033,INV-00902,2026-06-05,1,155,15.5,139.5
8901034,INV-00996,2026-06-05,1,42,0,42
8901035,INV-01032,2026-06-05,5,19,0,95
8901035,INV-01038,2026-06-05,1,19,1.9,17.1
8901054,INV-01276,2026-06-05,3,172,25.8,490.2
8901058,INV-01409,2026-06-05,1,205,0,205
8901062,INV-01533,2026-06-05,3,23,6.9,62.1
8901062,INV-01594,2026-06-05,5,23,0,115
8901063,INV-01607,2026-06-05,1,38,0,38
8901001,INV-00046,2026-06-06,1,68,0,68
8901001,INV-00094,2026-06-06,1,68,0,68
8901003,INV-00241,2026-06-06,3,272,0,816
8901004,INV-00314,2026-06-06,3,28,0,84
8901004,INV-00347,2026-06-06,2,28,0,56
8901030,INV-00671,2026-06-06,4,20,0,80
8901031,INV-00777,2026-06-06,4,85,0,340
8901034,INV-00945,2026-06-06,3,42,0,126
8901055,INV-01313,2026-06-06,1,94,0,94
8901057,INV-01372,2026-06-06,1,165,8.25,156.75
8901062,INV-01588,2026-06-06,2,23,4.6,41.4
8901063,INV-01614,2026-06-06,1,38,0,38
8901001,INV-00089,2026-06-07,3,68,20.4,183.6
8901003,INV-00278,2026-06-07,4,272,0,1088
8901004,INV-00339,2026-06-07,3,28,0,84
8901005,INV-00364,2026-06-07,2,128,0,256
8901005,INV-00381,2026-06-07,1,128,0,128
8901005,INV-00395,2026-06-07,2,128,0,256
8901011,INV-00521,2026-06-07,3,99,0,297
8901020,INV-00637,2026-06-07,1,56,0,56
8901033,INV-00912,2026-06-07,1,155,0,155
8901050,INV-01111,2026-06-07,2,32,0,64
8901056,INV-01354,2026-06-07,2,395,79.0,711.0
8901060,INV-01472,2026-06-07,1,348,0,348
8901066,INV-01690,2026-06-07,1,56,0,56
8901066,INV-01707,2026-06-07,1,56,0,56
8901002,INV-00140,2026-06-08,1,52,0,52
8901002,INV-00197,2026-06-08,5,52,0,260
8901003,INV-00299,2026-06-08,1,272,0,272
8901004,INV-00351,2026-06-08,4,28,5.6,106.4
8901005,INV-00415,2026-06-08,2,128,12.8,243.2
8901005,INV-00416,2026-06-08,2,128,0,256
8901010,INV-00491,2026-06-08,2,90,0,180
8901012,INV-00561,2026-06-08,1,42,0,42
8901031,INV-00775,2026-06-08,1,85,0,85
8901035,INV-01026,2026-06-08,1,19,0.95,18.05
8901050,INV-01119,2026-06-08,5,32,0,160
8901051,INV-01161,2026-06-08,1,270,0,270
8901051,INV-01183,2026-06-08,1,270,0,270
8901052,INV-01204,2026-06-08,1,180,0,180
8901055,INV-01311,2026-06-08,3,94,28.2,253.8
8901058,INV-01395,2026-06-08,1,205,0,205
8901059,INV-01427,2026-06-08,2,270,54.0,486.0
8901059,INV-01440,2026-06-08,1,270,0,270
8901062,INV-01532,2026-06-08,2,23,0,46
8901062,INV-01557,2026-06-08,3,23,6.9,62.1
8901064,INV-01647,2026-06-08,1,176,17.6,158.4
8901066,INV-01696,2026-06-08,1,56,0,56
8901001,INV-00063,2026-06-09,1,68,0,68
8901002,INV-00149,2026-06-09,4,52,0,208
8901002,INV-00161,2026-06-09,3,52,15.6,140.4
8901004,INV-00363,2026-06-09,5,28,0,140
8901006,INV-00437,2026-06-09,1,118,11.8,106.2
8901006,INV-00438,2026-06-09,1,118,0,118
8901011,INV-00520,2026-06-09,1,99,9.9,89.1
8901012,INV-00537,2026-06-09,3,42,0,126
8901013,INV-00585,2026-06-09,1,92,0,92
8901020,INV-00626,2026-06-09,1,56,0,56
8901030,INV-00676,2026-06-09,2,20,0,40
8901030,INV-00706,2026-06-09,2,20,0,40
8901031,INV-00782,2026-06-09,4,85,17.0,323.0
8901034,INV-00989,2026-06-09,1,42,2.1,39.9
8901034,INV-00999,2026-06-09,4,42,0,168
8901035,INV-01089,2026-06-09,5,19,0,95
8901050,INV-01133,2026-06-09,1,32,3.2,28.8
8901050,INV-01140,2026-06-09,2,32,0,64
8901056,INV-01358,2026-06-09,1,395,19.75,375.25
8901057,INV-01367,2026-06-09,3,165,0,495
8901058,INV-01402,2026-06-09,3,205,61.5,553.5
8901001,INV-00002,2026-06-10,3,68,0,204
8901001,INV-00038,2026-06-10,3,68,0,204
8901001,INV-00061,2026-06-10,5,68,0,340
8901002,INV-00162,2026-06-10,2,52,0,104
8901002,INV-00225,2026-06-10,3,52,15.6,140.4
8901010,INV-00466,2026-06-10,1,90,0,90
8901010,INV-00479,2026-06-10,3,90,0,270
8901011,INV-00523,2026-06-10,1,99,0,99
8901011,INV-00529,2026-06-10,2,99,0,198
8901030,INV-00709,2026-06-10,2,20,0,40
8901030,INV-00711,2026-06-10,5,20,0,100
8901030,INV-00712,2026-06-10,2,20,4.0,36.0
8901031,INV-00789,2026-06-10,5,85,0,425
8901031,INV-00801,2026-06-10,3,85,0,255
8901031,INV-00806,2026-06-10,3,85,0,255
8901034,INV-00949,2026-06-10,1,42,0,42
8901034,INV-00952,2026-06-10,4,42,0,168
8901034,INV-00981,2026-06-10,3,42,0,126
8901050,INV-01144,2026-06-10,1,32,1.6,30.4
8901051,INV-01187,2026-06-10,3,270,40.5,769.5
8901052,INV-01209,2026-06-10,1,180,0,180
8901052,INV-01214,2026-06-10,3,180,0,540
8901053,INV-01251,2026-06-10,2,705,0,1410
8901054,INV-01264,2026-06-10,1,172,17.2,154.8
8901054,INV-01275,2026-06-10,1,172,0,172
8901054,INV-01295,2026-06-10,2,172,0,344
8901055,INV-01320,2026-06-10,2,94,0,188
8901058,INV-01407,2026-06-10,2,205,0,410
8901063,INV-01605,2026-06-10,1,38,0,38
8901001,INV-00042,2026-06-11,2,68,0,136
8901001,INV-00053,2026-06-11,5,68,17.0,323.0
8901003,INV-00254,2026-06-11,2,272,0,544
8901004,INV-00308,2026-06-11,4,28,0,112
8901006,INV-00458,2026-06-11,1,118,0,118
8901011,INV-00515,2026-06-11,2,99,9.9,188.1
8901012,INV-00540,2026-06-11,2,42,8.4,75.6
8901030,INV-00673,2026-06-11,3,20,0,60
8901031,INV-00774,2026-06-11,3,85,0,255
8901031,INV-00795,2026-06-11,3,85,25.5,229.5
8901033,INV-00884,2026-06-11,1,155,0,155
8901033,INV-00919,2026-06-11,1,155,0,155
8901035,INV-01048,2026-06-11,2,19,0,38
8901055,INV-01306,2026-06-11,3,94,14.1,267.9
8901055,INV-01319,2026-06-11,3,94,0,282
8901055,INV-01338,2026-06-11,1,94,4.7,89.3
8901057,INV-01385,2026-06-11,1,165,0,165
8901059,INV-01447,2026-06-11,2,270,27.0,513.0
8901001,INV-00015,2026-06-12,3,68,20.4,183.6
8901001,INV-00062,2026-06-12,2,68,0,136
8901001,INV-00076,2026-06-12,5,68,0,340
8901001,INV-00080,2026-06-12,3,68,0,204
8901002,INV-00128,2026-06-12,2,52,0,104
8901002,INV-00164,2026-06-12,3,52,15.6,140.4
8901003,INV-00266,2026-06-12,1,272,13.6,258.4
8901004,INV-00306,2026-06-12,2,28,5.6,50.4
8901010,INV-00462,2026-06-12,1,90,0,90
8901013,INV-00609,2026-06-12,1,92,0,92
8901020,INV-00627,2026-06-12,2,56,0,112
8901032,INV-00875,2026-06-12,5,158,0,790
8901034,INV-00950,2026-06-12,4,42,0,168
8901035,INV-01023,2026-06-12,3,19,0,57
8901035,INV-01034,2026-06-12,2,19,0,38
