id,product_id,invoice_number,sale_date,quantity_sold,selling_price,discount,total_amount
65,65,INV-000017,2025-01-01,10,90.59,0,905.9
66,66,INV-000034,2025-01-01,10,100.54,0,1005.4
67,67,INV-000034,2025-01-01,4,71.45,0,285.8
68,68,INV-000018,2025-01-01,6,58.67,0,352.02
69,69,INV-000014,2025-01-01,4,48.07,0,192.28
70,70,INV-000024,2025-01-01,3,24.15,10,65.2
71,1,INV-000018,2025-01-02,24,31.56,0,757.44
72,2,INV-000037,2025-01-02,23,27.51,0,632.73
73,3,INV-000037,2025-01-02,20,30.45,0,609.0
74,4,INV-000038,2025-01-02,30,48.37,0,1451.1
75,5,INV-000019,2025-01-02,17,46.85,0,796.45
76,6,INV-000026,2025-01-02,11,55.93,0,615.23
77,7,INV-000016,2025-01-02,13,38.13,0,495.69
78,8,INV-000027,2025-01-02,11,41.42,0,455.62
79,9,INV-000027,2025-01-02,7,61.68,0,431.76
80,10,INV-000041,2025-01-02,14,35.43,0,496.02
81,11,INV-000021,2025-01-02,10,57.76,0,577.6
82,12,INV-000042,2025-01-02,6,71.67,0,430.02
83,13,INV-000028,2025-01-02,19,41.73,0,792.87
84,14,INV-000022,2025-01-02,19,41.29,5,745.28
85,15,INV-000043,2025-01-02,13,41.44,0,538.72
86,16,INV-000044,2025-01-02,12,41.6,0,499.2
87,17,INV-000018,2025-01-02,12,44.32,10,478.66
88,18,INV-000030,2025-01-02,7,121.71,5,809.37
89,19,INV-000018,2025-01-02,8,114.56,0,916.48
90,20,INV-000023,2025-01-02,7,126.33,0,884.31
91,21,INV-000019,2025-01-02,24,20.16,0,483.84
92,22,INV-000031,2025-01-02,11,307.76,0,3385.36
93,23,INV-000047,2025-01-02,19,270.54,15,4369.22
94,24,INV-000024,2025-01-02,16,598.65,15,8141.64
95,25,INV-000048,2025-01-02,29,165.98,0,4813.42
96,26,INV-000025,2025-01-02,25,25.62,0,640.5
97,27,INV-000025,2025-01-02,12,732.1,20,7028.16
98,28,INV-000020,2025-01-02,20,47.7,15,810.9
99,29,INV-000050,2025-01-02,21,164.69,0,3458.49
100,30,INV-000051,2025-01-02,17,155.88,0,2649.96
101,31,INV-000021,2025-01-02,8,57.08,0,456.64
102,32,INV-000021,2025-01-02,8,63.18,0,505.44
103,33,INV-000021,2025-01-02,29,19.81,0,574.49
104,34,INV-000035,2025-01-02,22,31.52,10,624.1
105,35,INV-000053,2025-01-02,16,37.61,0,601.76
106,36,INV-000027,2025-01-02,23,22.41,5,489.66
107,37,INV-000036,2025-01-02,21,22.14,5,441.69
108,38,INV-000037,2025-01-02,17,27.53,15,397.81
109,39,INV-000055,2025-01-02,15,83.56,10,1128.06
110,40,INV-000056,2025-01-02,3,476.34,0,1429.02
111,41,INV-000028,2025-01-02,20,39.52,0,790.4
112,42,INV-000038,2025-01-02,11,67.22,0,739.42
113,43,INV-000029,2025-01-02,10,239.21,0,2392.1
114,44,INV-000039,2025-01-02,7,324.04,0,2268.28
115,45,INV-000024,2025-01-02,13,112.82,15,1246.66
116,46,INV-000059,2025-01-02,6,180.77,0,1084.62
117,47,INV-000024,2025-01-02,11,308.09,5,3219.54
118,48,INV-000060,2025-01-02,14,246.39,15,2932.04
119,49,INV-000060,2025-01-02,10,564.14,0,5641.4
120,50,INV-000025,2025-01-02,11,171.04,0,1881.44
121,51,INV-000061,2025-01-02,12,165.23,0,1982.76
122,52,INV-000041,2025-01-02,15,112.92,0,1693.8
123,53,INV-000025,2025-01-02,6,81.39,0,488.34
124,54,INV-000042,2025-01-02,4,172.84,0,691.36
125,55,INV-000026,2025-01-02,13,33.9,0,440.7
126,56,INV-000026,2025-01-02,16,29.51,0,472.16
127,57,INV-000026,2025-01-02,9,59.01,0,531.09
128,58,INV-000065,2025-01-02,9,118.45,0,1066.05
129,59,INV-000026,2025-01-02,10,138.96,0,1389.6
130,60,INV-000033,2025-01-02,6,161.79,0,970.74
131,61,INV-000066,2025-01-02,3,48.45,5,138.08
132,62,INV-000045,2025-01-02,8,164.4,15,1117.92
133,63,INV-000027,2025-01-02,7,116.28,0,813.96
134,64,INV-000045,2025-01-02,7,124.66,0,872.62
135,65,INV-000046,2025-01-02,12,91.25,0,1095.0
136,66,INV-000046,2025-01-02,8,97.11,20,621.5
137,67,INV-000046,2025-01-02,5,72.52,0,362.6
138,68,INV-000035,2025-01-02,6,58.84,0,353.04
139,69,INV-000047,2025-01-02,4,48.15,10,173.34
140,70,INV-000047,2025-01-02,3,23.96,5,68.29
141,71,INV-000048,2025-01-02,2,37.94,0,75.88
142,1,INV-000048,2025-01-03,21,32.52,0,682.92
143,2,INV-000072,2025-01-03,22,28.3,0,622.6
144,3,INV-000049,2025-01-03,20,30.44,15,517.48
145,4,INV-000049,2025-01-03,22,48.13,10,952.97
146,5,INV-000049,2025-01-03,18,45.2,15,691.56
147,6,INV-000050,2025-01-03,12,55.24,0,662.88
148,7,INV-000075,2025-01-03,14,38.1,0,533.4
149,8,INV-000030,2025-01-03,11,41.29,0,454.19
150,9,INV-000076,2025-01-03,7,61.43,0,430.01
151,10,INV-000031,2025-01-03,14,36.19,0,506.66
152,11,INV-000077,2025-01-03,9,57.33,0,515.97
153,12,INV-000052,2025-01-03,6,73.13,20,351.02
154,13,INV-000078,2025-01-03,22,41.52,0,913.44
155,14,INV-000032,2025-01-03,16,41.97,0,671.52
156,15,INV-000053,2025-01-03,13,42.14,0,547.82
157,16,INV-000040,2025-01-03,13,42.52,0,552.76
158,17,INV-000040,2025-01-03,11,44.09,0,484.99
159,18,INV-000040,2025-01-03,8,121.07,0,968.56
160,19,INV-000033,2025-01-03,8,113.61,0,908.88
161,20,INV-000041,2025-01-03,7,124.98,0,874.86
162,21,INV-000055,2025-01-03,34,20.28,0,689.52
163,22,INV-000055,2025-01-03,14,313.8,0,4393.2
164,23,INV-000033,2025-01-03,18,270.84,15,4143.85
165,24,INV-000083,2025-01-03,16,587.42,15,7988.91
166,25,INV-000056,2025-01-03,26,169.52,0,4407.52
167,26,INV-000034,2025-01-03,26,25.65,0,666.9
168,27,INV-000085,2025-01-03,12,739.78,0,8877.36
169,28,INV-000057,2025-01-03,19,48.71,0,925.49
170,29,INV-000035,2025-01-03,17,168.06,0,2857.02
171,30,INV-000043,2025-01-03,16,156.72,0,2507.52
172,31,INV-000035,2025-01-03,8,57.63,20,368.83
173,32,INV-000044,2025-01-03,7,62.46,15,371.64
174,33,INV-000088,2025-01-03,32,20.13,0,644.16
175,34,INV-000059,2025-01-03,28,31.71,5,843.49
176,35,INV-000036,2025-01-03,20,38.2,0,764.0
177,36,INV-000036,2025-01-03,25,21.83,0,545.75
178,37,INV-000060,2025-01-03,24,21.77,0,522.48
179,38,INV-000045,2025-01-03,17,27.83,0,473.11
180,39,INV-000037,2025-01-03,13,85.02,0,1105.26
181,40,INV-000061,2025-01-03,3,472.08,5,1345.43
182,41,INV-000092,2025-01-03,22,40.7,15,761.09
183,42,INV-000092,2025-01-03,12,69.18,15,705.64
184,43,INV-000093,2025-01-03,11,232.03,20,2041.86
185,44,INV-000047,2025-01-03,8,331.62,20,2122.37
186,45,INV-000038,2025-01-03,14,113.01,0,1582.14
187,46,INV-000047,2025-01-03,8,178.45,0,1427.6
188,47,INV-000095,2025-01-03,11,301.14,0,3312.54
189,48,INV-000048,2025-01-03,12,253.1,0,3037.2
190,49,INV-000064,2025-01-03,9,559.8,0,5038.2
191,50,INV-000064,2025-01-03,10,171.72,0,1717.2
192,51,INV-000065,2025-01-03,12,165.55,0,1986.6
193,52,INV-000049,2025-01-03,13,116.86,0,1519.18
194,53,INV-000039,2025-01-03,6,79.98,0,479.88
195,54,INV-000040,2025-01-03,4,173.44,15,589.7
196,55,INV-000050,2025-01-03,12,33.52,0,402.24
197,56,INV-000066,2025-01-03,13,29.93,0,389.09
198,57,INV-000040,2025-01-03,10,57.92,0,579.2
199,58,INV-000067,2025-01-03,10,119.61,0,1196.1
200,59,INV-000067,2025-01-03,8,139.32,0,1114.56
201,60,INV-000051,2025-01-03,7,161.16,0,1128.12
202,61,INV-000041,2025-01-03,3,48.01,0,144.03
203,62,INV-000068,2025-01-03,9,163.69,20,1178.57
204,63,INV-000041,2025-01-03,8,115.82,0,926.56
205,64,INV-000103,2025-01-03,5,122.66,0,613.3
206,65,INV-000069,2025-01-03,10,90.24,0,902.4
207,66,INV-000052,2025-01-03,12,97.84,0,1174.08
208,67,INV-000053,2025-01-03,5,73.32,5,348.27
209,68,INV-000105,2025-01-03,5,58.5,0,292.5
210,69,INV-000043,2025-01-03,5,48.06,5,228.28
211,70,INV-000053,2025-01-03,3,23.92,5,68.17
212,1,INV-000107,2025-01-04,28,31.91,5,848.81
213,2,INV-000043,2025-01-04,24,27.6,0,662.4
214,3,INV-000054,2025-01-04,23,30.33,0,697.59
215,4,INV-000072,2025-01-04,35,48.62,0,1701.7
216,5,INV-000073,2025-01-04,25,46.89,0,1172.25
217,6,INV-000073,2025-01-04,14,54.8,0,767.2
218,7,INV-000044,2025-01-04,15,37.87,5,539.65
219,8,INV-000110,2025-01-04,13,42.17,15,465.98
220,9,INV-000056,2025-01-04,9,62.99,0,566.91
221,10,INV-000074,2025-01-04,30,35.69,0,1070.7
222,11,INV-000045,2025-01-04,20,59.12,15,1005.04
223,12,INV-000056,2025-01-04,9,73.41,0,660.69
224,13,INV-000075,2025-01-04,26,41.95,15,927.1
225,14,INV-000057,2025-01-04,18,41.6,0,748.8
226,15,INV-000046,2025-01-04,15,42.03,0,630.45
227,16,INV-000076,2025-01-04,13,42.26,15,466.97
228,17,INV-000058,2025-01-04,16,43.71,20,559.49
229,18,INV-000058,2025-01-04,9,117.98,0,1061.82
230,19,INV-000058,2025-01-04,11,113.26,0,1245.86
231,20,INV-000078,2025-01-04,8,125.77,15,855.24
232,21,INV-000117,2025-01-04,36,20.18,0,726.48
233,22,INV-000059,2025-01-04,13,314.67,0,4090.71
234,23,INV-000047,2025-01-04,25,269.98,0,6749.5
235,24,INV-000079,2025-01-04,21,595.0,0,12495.0
236,25,INV-000060,2025-01-04,28,165.16,0,4624.48
237,26,INV-000119,2025-01-04,26,26.34,10,616.36
238,27,INV-000060,2025-01-04,14,740.16,0,10362.24
239,28,INV-000080,2025-01-04,21,48.79,0,1024.59
240,29,INV-000061,2025-01-04,20,162.23,10,2920.14
241,30,INV-000081,2025-01-04,15,156.23,0,2343.45
242,31,INV-000049,2025-01-04,9,56.98,0,512.82
243,32,INV-000061,2025-01-04,8,61.67,0,493.36
244,33,INV-000082,2025-01-04,42,19.94,0,837.48
245,34,INV-000050,2025-01-04,29,32.34,0,937.86
246,35,INV-000062,2025-01-04,27,37.57,0,1014.39
247,36,INV-000124,2025-01-04,37,22.18,0,820.66
248,37,INV-000063,2025-01-04,34,22.29,0,757.86
249,38,INV-000063,2025-01-04,27,28.13,0,759.51
250,39,INV-000051,2025-01-04,19,84.77,0,1610.63
251,40,INV-000051,2025-01-04,4,473.67,15,1610.48
252,41,INV-000064,2025-01-04,20,40.41,10,727.38
253,42,INV-000064,2025-01-04,16,67.25,0,1076.0
254,43,INV-000064,2025-01-04,11,232.28,0,2555.08
255,44,INV-000064,2025-01-04,8,332.97,0,2663.76
256,45,INV-000129,2025-01-04,12,114.33,10,1234.76
257,46,INV-000129,2025-01-04,7,178.08,0,1246.56
258,47,INV-000065,2025-01-04,12,302.41,10,3266.03
259,48,INV-000087,2025-01-04,15,252.45,0,3786.75
260,49,INV-000053,2025-01-04,9,556.2,0,5005.8
261,50,INV-000053,2025-01-04,11,170.07,0,1870.77
262,51,INV-000132,2025-01-04,13,169.26,0,2200.38
263,52,INV-000066,2025-01-04,16,114.47,0,1831.52
264,53,INV-000067,2025-01-04,6,81.13,0,486.78
265,54,INV-000054,2025-01-04,4,171.19,0,684.76
266,55,INV-000054,2025-01-04,14,34.15,0,478.1
267,56,INV-000054,2025-01-04,11,30.02,0,330.22
268,57,INV-000135,2025-01-04,13,58.66,0,762.58
269,58,INV-000054,2025-01-04,10,117.81,0,1178.1
270,59,INV-000091,2025-01-04,8,142.29,15,967.57
271,60,INV-000068,2025-01-04,8,163.19,0,1305.52
272,61,INV-000091,2025-01-04,3,48.94,0,146.82
273,62,INV-000137,2025-01-04,15,162.72,0,2440.8
274,63,INV-000138,2025-01-04,10,116.7,0,1167.0
275,64,INV-000092,2025-01-04,11,124.77,0,1372.47
276,65,INV-000070,2025-01-04,12,90.23,0,1082.76
277,66,INV-000093,2025-01-04,13,100.84,0,1310.92
278,67,INV-000056,2025-01-04,4,70.6,0,282.4
279,68,INV-000070,2025-01-04,6,58.35,10,315.09
280,69,INV-000094,2025-01-04,4,47.89,0,191.56
281,70,INV-000057,2025-01-04,3,24.35,0,73.05
282,1,INV-000095,2025-01-05,35,31.45,0,1100.75
283,2,INV-000142,2025-01-05,28,28.3,0,792.4
284,3,INV-000143,2025-01-05,23,29.45,0,677.35
285,4,INV-000072,2025-01-05,42,48.67,10,1839.73
286,5,INV-000058,2025-01-05,23,45.73,0,1051.79
287,6,INV-000144,2025-01-05,16,55.04,20,704.51
288,7,INV-000073,2025-01-05,15,37.42,0,561.3
289,8,INV-000073,2025-01-05,15,42.76,0,641.4
290,9,INV-000097,2025-01-05,8,60.87,0,486.96
291,10,INV-000098,2025-01-05,28,36.26,0,1015.28
292,11,INV-000059,2025-01-05,18,56.87,20,818.93
293,12,INV-000074,2025-01-05,9,73.24,0,659.16
294,13,INV-000148,2025-01-05,31,42.74,0,1324.94
295,14,INV-000148,2025-01-05,25,41.41,0,1035.25
296,15,INV-000099,2025-01-05,17,42.05,0,714.85
297,16,INV-000100,2025-01-05,18,42.23,10,684.13
298,17,INV-000075,2025-01-05,19,43.97,0,835.43
299,18,INV-000150,2025-01-05,12,117.9,0,1414.8
300,19,INV-000061,2025-01-05,13,113.41,0,1474.33
301,20,INV-000101,2025-01-05,10,126.2,0,1262.0
302,21,INV-000101,2025-01-05,30,19.7,0,591.0
303,22,INV-000061,2025-01-05,11,305.6,0,3361.6
304,23,INV-000077,2025-01-05,24,279.22,5,6366.22
305,24,INV-000102,2025-01-05,22,604.65,0,13302.3
306,25,INV-000077,2025-01-05,35,169.18,0,5921.3
307,26,INV-000154,2025-01-05,28,26.14,0,731.92
308,27,INV-000103,2025-01-05,14,744.05,0,10416.7
309,28,INV-000062,2025-01-05,28,47.05,10,1185.66
310,29,INV-000063,2025-01-05,18,166.41,0,2995.38
311,30,INV-000063,2025-01-05,18,152.51,0,2745.18
312,31,INV-000079,2025-01-05,8,58.82,0,470.56
313,32,INV-000105,2025-01-05,8,61.31,10,441.43
314,33,INV-000158,2025-01-05,43,20.29,0,872.47
315,34,INV-000106,2025-01-05,35,32.36,15,962.71
316,35,INV-000159,2025-01-05,23,37.32,0,858.36
317,36,INV-000080,2025-01-05,38,21.95,0,834.1
318,37,INV-000064,2025-01-05,34,22.08,0,750.72
319,38,INV-000080,2025-01-05,24,27.98,0,671.52
320,39,INV-000065,2025-01-05,17,85.76,5,1385.02
321,40,INV-000065,2025-01-05,4,487.33,0,1949.32
322,41,INV-000162,2025-01-05,24,39.22,5,894.22
323,42,INV-000065,2025-01-05,16,67.84,0,1085.44
324,43,INV-000065,2025-01-05,12,236.24,0,2834.88
325,44,INV-000109,2025-01-05,9,336.25,0,3026.25
326,45,INV-000082,2025-01-05,14,116.32,10,1465.63
327,46,INV-000164,2025-01-05,7,178.66,5,1188.09
328,47,INV-000066,2025-01-05,12,305.0,20,2928.0
329,48,INV-000083,2025-01-05,16,253.67,0,4058.72
330,49,INV-000067,2025-01-05,10,553.93,20,4431.44
331,50,INV-000166,2025-01-05,13,168.48,0,2190.24
332,51,INV-000067,2025-01-05,13,169.65,0,2205.45
333,52,INV-000167,2025-01-05,18,113.55,20,1635.12
334,53,INV-000084,2025-01-05,6,80.1,0,480.6
335,54,INV-000068,2025-01-05,4,171.8,0,687.2
336,55,INV-000068,2025-01-05,12,34.44,0,413.28
337,56,INV-000085,2025-01-05,12,29.59,0,355.08
338,57,INV-000068,2025-01-05,13,58.99,0,766.87
339,58,INV-000170,2025-01-05,11,119.1,15,1113.59
340,59,INV-000086,2025-01-05,8,137.84,0,1102.72
341,60,INV-000086,2025-01-05,7,160.88,15,957.24
342,61,INV-000069,2025-01-05,3,48.85,20,117.24
343,62,INV-000172,2025-01-05,13,164.16,0,2134.08
344,63,INV-000087,2025-01-05,11,117.11,0,1288.21
345,64,INV-000173,2025-01-05,13,124.85,15,1379.59
346,65,INV-000087,2025-01-05,12,90.27,0,1083.24
347,66,INV-000174,2025-01-05,14,99.22,0,1389.08
348,67,INV-000070,2025-01-05,4,71.34,0,285.36
349,68,INV-000117,2025-01-05,5,57.57,0,287.85
350,69,INV-000088,2025-01-05,4,47.29,0,189.16
351,70,INV-000176,2025-01-05,3,23.89,0,71.67
352,71,INV-000089,2025-01-05,2,38.29,20,61.26
353,1,INV-000177,2025-01-06,24,32.17,0,772.08
354,2,INV-000178,2025-01-06,21,28.36,0,595.56
355,3,INV-000119,2025-01-06,15,30.33,20,363.96
356,4,INV-000179,2025-01-06,26,47.15,0,1225.9
357,5,INV-000120,2025-01-06,21,46.33,0,972.93
358,6,INV-000090,2025-01-06,11,55.72,0,612.92
359,7,INV-000072,2025-01-06,12,37.66,0,451.92
360,8,INV-000073,2025-01-06,10,41.32,0,413.2
361,9,INV-000181,2025-01-06,6,62.68,0,376.08
362,10,INV-000121,2025-01-06,17,35.3,0,600.1
363,11,INV-000182,2025-01-06,8,58.3,0,466.4
364,12,INV-000092,2025-01-06,6,71.27,0,427.62
365,13,INV-000183,2025-01-06,16,42.23,5,641.9
366,14,INV-000123,2025-01-06,14,41.8,20,468.16
367,15,INV-000074,2025-01-06,15,42.44,0,636.6
368,16,INV-000093,2025-01-06,10,42.64,10,383.76
369,17,INV-000093,2025-01-06,12,44.71,0,536.52
370,18,INV-000075,2025-01-06,6,118.02,10,637.31
371,19,INV-000075,2025-01-06,8,114.45,0,915.6
372,20,INV-000125,2025-01-06,7,122.91,0,860.37
373,21,INV-000187,2025-01-06,31,19.92,0,617.52
374,22,INV-000188,2025-01-06,14,304.37,0,4261.18
375,23,INV-000126,2025-01-06,20,273.3,5,5192.7
376,24,INV-000076,2025-01-06,18,606.32,5,10368.07
377,25,INV-000076,2025-01-06,28,165.85,0,4643.8
378,26,INV-000076,2025-01-06,24,25.71,0,617.04
379,27,INV-000095,2025-01-06,14,726.82,0,10175.48
380,28,INV-000096,2025-01-06,21,47.27,0,992.67
381,29,INV-000128,2025-01-06,18,163.81,15,2506.29
382,30,INV-000096,2025-01-06,16,156.3,0,2500.8
383,31,INV-000128,2025-01-06,10,58.05,0,580.5
384,32,INV-000193,2025-01-06,8,61.79,0,494.32
385,33,INV-000129,2025-01-06,33,20.1,0,663.3
386,34,INV-000129,2025-01-06,27,32.35,0,873.45
387,35,INV-000130,2025-01-06,16,38.34,0,613.44
388,36,INV-000130,2025-01-06,23,22.42,20,412.53
389,37,INV-000078,2025-01-06,22,21.65,0,476.3
390,38,INV-000098,2025-01-06,17,27.6,0,469.2
391,39,INV-000079,2025-01-06,16,85.52,0,1368.32
392,40,INV-000131,2025-01-06,3,486.6,0,1459.8
393,41,INV-000197,2025-01-06,17,39.43,0,670.31
394,42,INV-000099,2025-01-06,14,67.78,0,948.92
395,43,INV-000132,2025-01-06,11,239.08,0,2629.88
396,44,INV-000100,2025-01-06,7,336.02,20,1881.71
397,45,INV-000080,2025-01-06,15,113.79,0,1706.85
398,46,INV-000133,2025-01-06,6,182.97,10,988.04
399,47,INV-000200,2025-01-06,11,299.72,0,3296.92
400,48,INV-000081,2025-01-06,12,247.72,20,2378.11
401,49,INV-000201,2025-01-06,9,563.12,0,5068.08
402,50,INV-000135,2025-01-06,12,166.7,0,2000.4
403,51,INV-000135,2025-01-06,11,168.2,0,1850.2
404,52,INV-000203,2025-01-06,15,116.97,20,1403.64
405,53,INV-000082,2025-01-06,5,78.92,0,394.6
406,54,INV-000082,2025-01-06,4,175.01,0,700.04
407,55,INV-000204,2025-01-06,10,34.03,0,340.3
408,56,INV-000205,2025-01-06,12,29.84,0,358.08
409,57,INV-000103,2025-01-06,10,57.46,0,574.6
410,58,INV-000083,2025-01-06,11,119.49,5,1248.67
411,59,INV-000138,2025-01-06,8,138.7,10,998.64
412,60,INV-000104,2025-01-06,8,161.33,0,1290.64
413,61,INV-000138,2025-01-06,3,48.38,0,145.14
414,62,INV-000104,2025-01-06,8,168.29,0,1346.32
415,63,INV-000084,2025-01-06,8,113.4,5,861.84
416,64,INV-000105,2025-01-06,7,124.9,10,786.87
417,65,INV-000084,2025-01-06,10,90.52,0,905.2
418,66,INV-000105,2025-01-06,12,97.33,15,992.77
419,67,INV-000084,2025-01-06,4,72.9,0,291.6
420,68,INV-000085,2025-01-06,6,58.38,0,350.28
421,69,INV-000085,2025-01-06,4,48.62,5,184.76
422,70,INV-000085,2025-01-06,3,23.97,10,64.72
423,71,INV-000212,2025-01-06,2,37.53,0,75.06
424,1,INV-000213,2025-01-07,21,32.49,0,682.29
425,2,INV-000086,2025-01-07,20,28.04,0,560.8
426,3,INV-000143,2025-01-07,16,29.53,0,472.48
427,4,INV-000143,2025-01-07,24,48.33,5,1101.92
428,5,INV-000215,2025-01-07,22,46.57,0,1024.54
429,6,INV-000215,2025-01-07,14,53.97,0,755.58
430,7,INV-000108,2025-01-07,14,38.45,0,538.3
431,8,INV-000108,2025-01-07,11,41.28,0,454.08
432,9,INV-000087,2025-01-07,6,62.16,15,317.02
433,10,INV-000145,2025-01-07,16,35.82,0,573.12
434,11,INV-000109,2025-01-07,9,57.04,20,410.69
435,12,INV-000146,2025-01-07,6,72.53,0,435.18
436,13,INV-000110,2025-01-07,21,41.64,0,874.44
437,14,INV-000146,2025-01-07,17,42.77,0,727.09
438,15,INV-000220,2025-01-07,16,42.11,10,606.38
439,16,INV-000147,2025-01-07,10,41.6,0,416.0
440,17,INV-000147,2025-01-07,13,44.55,0,579.15
441,18,INV-000221,2025-01-07,7,118.06,0,826.42
442,19,INV-000089,2025-01-07,8,116.24,10,836.93
443,20,INV-000148,2025-01-07,8,125.93,10,906.7
444,21,INV-000223,2025-01-07,27,20.18,0,544.86
445,22,INV-000112,2025-01-07,14,305.22,20,3418.46
446,23,INV-000224,2025-01-07,20,276.36,0,5527.2
447,24,INV-000112,2025-01-07,20,587.44,20,9399.04
448,25,INV-000225,2025-01-07,24,170.76,5,3893.33
449,26,INV-000225,2025-01-07,23,26.18,20,481.71
450,27,INV-000226,2025-01-07,13,739.95,5,9138.38
451,28,INV-000151,2025-01-07,24,48.93,0,1174.32
452,29,INV-000114,2025-01-07,20,165.49,0,3309.8
453,30,INV-000114,2025-01-07,16,156.96,20,2009.09
454,31,INV-000091,2025-01-07,7,58.59,0,410.13
455,32,INV-000152,2025-01-07,8,60.96,0,487.68
456,33,INV-000092,2025-01-07,35,20.35,0,712.25
457,34,INV-000092,2025-01-07,24,31.99,0,767.76
458,35,INV-000230,2025-01-07,20,37.36,0,747.2
459,36,INV-000115,2025-01-07,21,22.25,0,467.25
460,37,INV-000116,2025-01-07,23,21.83,0,502.09
461,38,INV-000116,2025-01-07,17,27.69,15,400.12
462,39,INV-000232,2025-01-07,15,86.13,5,1227.35
463,40,INV-000116,2025-01-07,4,486.19,0,1944.76
464,41,INV-000155,2025-01-07,22,39.67,0,872.74
465,42,INV-000094,2025-01-07,14,66.86,15,795.63
466,43,INV-000094,2025-01-07,12,233.63,10,2523.2
467,44,INV-000156,2025-01-07,8,326.9,0,2615.2
468,45,INV-000157,2025-01-07,13,113.7,10,1330.29
469,46,INV-000118,2025-01-07,6,179.55,0,1077.3
470,47,INV-000118,2025-01-07,10,304.57,0,3045.7
471,48,INV-000095,2025-01-07,13,247.77,0,3221.01
472,49,INV-000158,2025-01-07,10,565.0,20,4520.0
473,50,INV-000158,2025-01-07,10,169.13,0,1691.3
