id,business_id,category_id,supplier_id,barcode,product_name,brand,unit,mrp,selling_price,manufacturing_date,expiry_date,minimum_stock,status
59,1,7,28,890100000059,Benadryl Cough Syrup,Johnson & Johnson,100 ml,145,140,2025-01-01,2026-12-31,12,ACTIVE
60,1,7,14,890100000060,Dettol Antiseptic Liquid,Dettol,250 ml,165,160,2025-01-01,2026-12-31,15,ACTIVE
61,1,7,28,890100000061,Band-Aid,Johnson & Johnson,Pack of 20,50,48,2025-01-01,2026-12-31,12,ACTIVE
62,1,4,32,890100000062,McCain French Fries,McCain,750 gm,170,165,2025-01-01,2026-12-31,12,ACTIVE
63,1,4,32,890100000063,McCain Aloo Tikki,McCain,420 gm,120,115,2025-01-01,2026-12-31,10,ACTIVE
64,1,4,32,890100000064,McCain Smiles,McCain,420 gm,130,125,2025-01-01,2026-12-31,10,ACTIVE
65,1,4,44,890100000065,Frozen Green Peas,Safal,500 gm,95,90,2025-01-01,2026-12-31,15,ACTIVE
66,1,4,44,890100000066,Frozen Sweet Corn,Safal,500 gm,105,99,2025-01-01,2026-12-31,15,ACTIVE
67,1,10,10,890100000067,Classmate Notebook,Classmate,200 Pages,75,72,2025-01-01,2026-12-31,20,ACTIVE
68,1,10,9,890100000068,Cello Ball Pen,Cello,Pack of 10,60,58,2025-01-01,2026-12-31,20,ACTIVE
69,1,10,3,890100000069,Apsara Pencil,Apsara,Pack of 10,50,48,2025-01-01,2026-12-31,15,ACTIVE
70,1,10,8,890100000070,Camlin Eraser,Camlin,Pack of 5,25,24,2025-01-01,2026-12-31,12,ACTIVE
71,1,10,40,890100000071,Fevicol MR,Pidilite,100 gm,40,38,2025-01-01,2026-12-31,12,ACTIVE
